fov,count,sum,mean
1,1083,983,0.9076638965835642
2,1159,1013,0.8740293356341674
3,1226,1099,0.8964110929853181
4,938,817,0.8710021321961621
5,676,615,0.9097633136094675
6,678,595,0.8775811209439528
7,1762,1553,0.8813847900113507
8,1945,1711,0.8796915167095116
9,1403,1242,0.8852459016393442
10,1360,1202,0.8838235294117647
11,1020,917,0.8990196078431373
12,954,852,0.8930817610062893
13,1756,1589,0.9048974943052391
14,1327,1192,0.8982667671439337
15,642,478,0.7445482866043613
16,1037,896,0.8640308582449373
17,1369,528,0.38568298027757486
18,1250,26,0.0208
19,1272,537,0.4221698113207547
20,973,4,0.0041109969167523125
21,1163,27,0.023215821152192607
22,1136,304,0.2676056338028169
23,1091,834,0.7644362969752521
24,1112,907,0.8156474820143885
25,1172,1020,0.8703071672354948
26,1497,1288,0.8603874415497662
27,1580,1399,0.8854430379746835
28,1852,1646,0.8887688984881209
29,1386,1243,0.8968253968253969
30,1263,1082,0.8566904196357878
41,1186,1027,0.8659359190556493
42,1190,1066,0.8957983193277311
43,907,807,0.8897464167585446
44,1011,921,0.9109792284866469
45,1084,961,0.8865313653136532
46,1105,968,0.8760180995475113
