min_counts,min_genes,max_control_fraction,n_cells,retained_fraction,min_fov_retention,median_fov_retention,fov_retention_iqr
10,5,,38432,0.8821760587627683,0.018499486125385406,0.9946645227999279,0.020117350178357585
10,5,0.05,38370,0.8807528979685527,0.015416238437821172,0.9945175401980264,0.024572342098659994
10,5,0.1,38429,0.8821071961436934,0.018499486125385406,0.9946645227999279,0.020506758278046044
10,5,0.2,38432,0.8821760587627683,0.018499486125385406,0.9946645227999279,0.020117350178357585
10,10,,38164,0.8760243314587398,0.01644398766700925,0.9929889827358687,0.025267559745008827
10,10,0.05,38106,0.8746929874899575,0.013360739979445015,0.99261219298455,0.030728293864964784
10,10,0.1,38161,0.8759554688396649,0.01644398766700925,0.9929889827358687,0.026380207960415847
10,10,0.2,38164,0.8760243314587398,0.01644398766700925,0.9929889827358687,0.025267559745008827
10,15,,37474,0.8601859290715024,0.012332990750256937,0.9853764560629781,0.04357079737064118
10,15,0.05,37454,0.859726844944336,0.010277492291880781,0.9853764560629781,0.045692300286315324
10,15,0.1,37472,0.8601400206587857,0.012332990750256937,0.9853764560629781,0.04424582005487854
10,15,0.2,37474,0.8601859290715024,0.012332990750256937,0.9853764560629781,0.04357079737064118
10,20,,36814,0.8450361528750143,0.008221993833504625,0.9769853359856244,0.06707757903210676
10,20,0.05,36805,0.8448295650177895,0.008221993833504625,0.9769853359856244,0.06648375480407831
10,20,0.1,36814,0.8450361528750143,0.008221993833504625,0.9769853359856244,0.06707757903210676
10,20,0.2,36814,0.8450361528750143,0.008221993833504625,0.9769853359856244,0.06707757903210676
10,30,,35534,0.815654768736371,0.003083247687564234,0.9567381996465255,0.10674974416998262
10,30,0.05,35530,0.8155629519109376,0.003083247687564234,0.9567381996465255,0.10674974416998262
10,30,0.1,35534,0.815654768736371,0.003083247687564234,0.9567381996465255,0.10674974416998262
10,30,0.2,35534,0.815654768736371,0.003083247687564234,0.9567381996465255,0.10674974416998262
20,5,,37417,0.8588775393090784,0.008221993833504625,0.9872485488434795,0.05295335705836046
20,5,0.05,37405,0.8586020888327786,0.008221993833504625,0.9870678999937559,0.05512307740551581
20,5,0.1,37416,0.8588545851027201,0.008221993833504625,0.9872485488434795,0.05367659717407891
20,5,0.2,37417,0.8588775393090784,0.008221993833504625,0.9872485488434795,0.05295335705836046
20,10,,37377,0.8579593710547457,0.008221993833504625,0.9869701699886491,0.05278581562387785
20,10,0.05,37365,0.857683920578446,0.008221993833504625,0.9867895211389255,0.05478524814093677
20,10,0.1,37376,0.8579364168483875,0.008221993833504625,0.9869701699886491,0.0535090557395963
20,10,0.2,37377,0.8579593710547457,0.008221993833504625,0.9869701699886491,0.05278581562387785
20,15,,37263,0.8553425915298979,0.008221993833504625,0.9846833889180575,0.05278398907906745
20,15,0.05,37251,0.855067141053598,0.008221993833504625,0.9846833889180575,0.05478342159612637
20,15,0.1,37262,0.8553196373235395,0.008221993833504625,0.9846833889180575,0.0535072291947859
20,15,0.2,37263,0.8553425915298979,0.008221993833504625,0.9846833889180575,0.05278398907906745
20,20,,36814,0.8450361528750143,0.008221993833504625,0.9769853359856244,0.06707757903210676
20,20,0.05,36805,0.8448295650177895,0.008221993833504625,0.9769853359856244,0.06648375480407831
20,20,0.1,36814,0.8450361528750143,0.008221993833504625,0.9769853359856244,0.06707757903210676
20,20,0.2,36814,0.8450361528750143,0.008221993833504625,0.9769853359856244,0.06707757903210676
20,30,,35534,0.815654768736371,0.003083247687564234,0.9567381996465255,0.10674974416998262
20,30,0.05,35530,0.8155629519109376,0.003083247687564234,0.9567381996465255,0.10674974416998262
20,30,0.1,35534,0.815654768736371,0.003083247687564234,0.9567381996465255,0.10674974416998262
20,30,0.2,35534,0.815654768736371,0.003083247687564234,0.9567381996465255,0.10674974416998262
30,5,,36594,0.839986227476185,0.003083247687564234,0.9795015596322244,0.0843280566404403
30,5,0.05,36588,0.8398485022380351,0.003083247687564234,0.9795015596322244,0.08505129675615875
30,5,0.1,36594,0.839986227476185,0.003083247687564234,0.9795015596322244,0.0843280566404403
30,5,0.2,36594,0.839986227476185,0.003083247687564234,0.9795015596322244,0.0843280566404403
30,10,,36577,0.8395960059680937,0.003083247687564234,0.9795015596322244,0.0843280566404403
30,10,0.05,36571,0.8394582807299438,0.003083247687564234,0.9795015596322244,0.08505129675615875
30,10,0.1,36577,0.8395960059680937,0.003083247687564234,0.9795015596322244,0.0843280566404403
30,10,0.2,36577,0.8395960059680937,0.003083247687564234,0.9795015596322244,0.0843280566404403
30,15,,36519,0.8382646619993114,0.003083247687564234,0.9768308842789714,0.08319303385014098
30,15,0.05,36513,0.8381269367611615,0.003083247687564234,0.9768308842789714,0.08391627396585943
30,15,0.1,36519,0.8382646619993114,0.003083247687564234,0.9768308842789714,0.08319303385014098
30,15,0.2,36519,0.8382646619993114,0.003083247687564234,0.9768308842789714,0.08319303385014098
30,20,,36396,0.8354412946172386,0.003083247687564234,0.971514061332998,0.08291301395594775
30,20,0.05,36390,0.8353035693790887,0.003083247687564234,0.971514061332998,0.0836362540716662
30,20,0.1,36396,0.8354412946172386,0.003083247687564234,0.971514061332998,0.08291301395594775
30,20,0.2,36396,0.8354412946172386,0.003083247687564234,0.971514061332998,0.08291301395594775
30,30,,35534,0.815654768736371,0.003083247687564234,0.9567381996465255,0.10674974416998262
30,30,0.05,35530,0.8155629519109376,0.003083247687564234,0.9567381996465255,0.10674974416998262
30,30,0.1,35534,0.815654768736371,0.003083247687564234,0.9567381996465255,0.10674974416998262
30,30,0.2,35534,0.815654768736371,0.003083247687564234,0.9567381996465255,0.10674974416998262
50,5,,35080,0.8052335590496958,0.0020554984583761563,0.9554760552634203,0.12889961612361278
50,5,0.05,35078,0.8051876506369793,0.0020554984583761563,0.9554760552634203,0.12889961612361278
50,5,0.1,35080,0.8052335590496958,0.0020554984583761563,0.9554760552634203,0.12889961612361278
50,5,0.2,35080,0.8052335590496958,0.0020554984583761563,0.9554760552634203,0.12889961612361278
50,10,,35076,0.8051417422242626,0.0020554984583761563,0.9554760552634203,0.12889961612361278
50,10,0.05,35074,0.8050958338115459,0.0020554984583761563,0.9554760552634203,0.12889961612361278
50,10,0.1,35076,0.8051417422242626,0.0020554984583761563,0.9554760552634203,0.12889961612361278
50,10,0.2,35076,0.8051417422242626,0.0020554984583761563,0.9554760552634203,0.12889961612361278
50,15,,35059,0.8047515207161713,0.0020554984583761563,0.9551104581437896,0.12821085264792464
50,15,0.05,35057,0.8047056123034546,0.0020554984583761563,0.9551104581437896,0.12821085264792464
50,15,0.1,35059,0.8047515207161713,0.0020554984583761563,0.9551104581437896,0.12821085264792464
50,15,0.2,35059,0.8047515207161713,0.0020554984583761563,0.9551104581437896,0.12821085264792464
50,20,,35008,0.8035808561918971,0.0020554984583761563,0.9511521094570978,0.12747509059542017
50,20,0.05,35006,0.8035349477791806,0.0020554984583761563,0.9511521094570978,0.12747509059542017
50,20,0.1,35008,0.8035808561918971,0.0020554984583761563,0.9511521094570978,0.12747509059542017
50,20,0.2,35008,0.8035808561918971,0.0020554984583761563,0.9511521094570978,0.12747509059542017
50,30,,34812,0.7990818317456674,0.0020554984583761563,0.9478235699548928,0.12686532763616798
50,30,0.05,34810,0.7990359233329508,0.0020554984583761563,0.9478235699548928,0.12686532763616798
50,30,0.1,34812,0.7990818317456674,0.0020554984583761563,0.9478235699548928,0.12686532763616798
50,30,0.2,34812,0.7990818317456674,0.0020554984583761563,0.9478235699548928,0.12686532763616798
75,5,,33143,0.7607712613336394,0.0010277492291880781,0.921277964687242,0.20671768886095587
75,5,0.05,33143,0.7607712613336394,0.0010277492291880781,0.921277964687242,0.20671768886095587
75,5,0.1,33143,0.7607712613336394,0.0010277492291880781,0.921277964687242,0.20671768886095587
75,5,0.2,33143,0.7607712613336394,0.0010277492291880781,0.921277964687242,0.20671768886095587
75,10,,33143,0.7607712613336394,0.0010277492291880781,0.921277964687242,0.20671768886095587
75,10,0.05,33143,0.7607712613336394,0.0010277492291880781,0.921277964687242,0.20671768886095587
75,10,0.1,33143,0.7607712613336394,0.0010277492291880781,0.921277964687242,0.20671768886095587
75,10,0.2,33143,0.7607712613336394,0.0010277492291880781,0.921277964687242,0.20671768886095587
75,15,,33137,0.7606335360954894,0.0010277492291880781,0.921277964687242,0.20671768886095587
75,15,0.05,33137,0.7606335360954894,0.0010277492291880781,0.921277964687242,0.20671768886095587
75,15,0.1,33137,0.7606335360954894,0.0010277492291880781,0.921277964687242,0.20671768886095587
75,15,0.2,33137,0.7606335360954894,0.0010277492291880781,0.921277964687242,0.20671768886095587
75,20,,33108,0.7599678641110984,0.0010277492291880781,0.9202145280054552,0.20671768886095587
75,20,0.05,33108,0.7599678641110984,0.0010277492291880781,0.9202145280054552,0.20671768886095587
75,20,0.1,33108,0.7599678641110984,0.0010277492291880781,0.9202145280054552,0.20671768886095587
75,20,0.2,33108,0.7599678641110984,0.0010277492291880781,0.9202145280054552,0.20671768886095587
75,30,,33001,0.7575117640307586,0.0010277492291880781,0.9199574585967148,0.2070732819178508
75,30,0.05,33001,0.7575117640307586,0.0010277492291880781,0.9199574585967148,0.2070732819178508
75,30,0.1,33001,0.7575117640307586,0.0010277492291880781,0.9199574585967148,0.2070732819178508
75,30,0.2,33001,0.7575117640307586,0.0010277492291880781,0.9199574585967148,0.2070732819178508
100,5,,31155,0.7151382990933088,0.0008598452278589854,0.8753270700244373,0.2748392607210761
100,5,0.05,31155,0.7151382990933088,0.0008598452278589854,0.8753270700244373,0.2748392607210761
100,5,0.1,31155,0.7151382990933088,0.0008598452278589854,0.8753270700244373,0.2748392607210761
100,5,0.2,31155,0.7151382990933088,0.0008598452278589854,0.8753270700244373,0.2748392607210761
100,10,,31155,0.7151382990933088,0.0008598452278589854,0.8753270700244373,0.2748392607210761
100,10,0.05,31155,0.7151382990933088,0.0008598452278589854,0.8753270700244373,0.2748392607210761
